19.1,-34.8861,17.6588
19.2,-35.0228,17.7159
19.3,-35.1594,17.7729
19.4,-35.2961,17.83
19.5,-35.4328,17.887
19.6,-35.5694,17.9441
19.7,-35.7061,18.0011
19.8,-35.8427,18.0581
19.9,-35.9793,18.1152
20,-36.116,18.1722
20.1,-36.2526,18.2293
20.2,-36.3893,18.2863
20.3,-36.5259,18.3434
20.4,-36.6625,18.4004
20.5,-36.7992,18.4574
20.6,-36.9358,18.5145
20.7,-37.0724,18.5715
20.8,-37.209,18.6285
20.9,-37.3457,18.6856
21,-37.4822,18.7425
21.1,-37.6185,18.7994
21.2,-37.7546,18.8562
21.3,-37.8903,18.9129
21.4,-38.0259,18.9696
21.5,-38.1611,19.0263
21.6,-38.2961,19.083
21.7,-38.4308,19.1397
21.8,-38.5652,19.1964
21.9,-38.6999,19.2533
22,-38.8357,19.3104
22.1,-38.9725,19.3679
22.2,-39.1099,19.4256
22.3,-39.2471,19.4833
22.4,-39.3841,19.541
22.5,-39.5208,19.5987
22.6,-39.6572,19.6565
22.7,-39.7933,19.7142
22.8,-39.9292,19.772
22.9,-40.0649,19.8297
23,-40.2004,19.8873
23.1,-40.3358,19.9449
23.2,-40.4709,20.0025
23.3,-40.6059,20.0601
23.4,-40.7406,20.1175
23.5,-40.875,20.175
23.6,-41.0092,20.2324
23.7,-41.1431,20.2898
23.8,-41.2767,20.3472
23.9,-41.41,20.4046
24,-41.5431,20.462
24.1,-41.6758,20.5193
24.2,-41.8084,20.5767
24.3,-41.9406,20.6341
24.4,-42.0726,20.6914
24.5,-42.2044,20.7488
24.6,-42.3359,20.8062
24.7,-42.4672,20.8636
24.8,-42.5982,20.9211
24.9,-42.7291,20.9785
25,-42.8596,21.0362
25.1,-42.9902,21.0941
25.2,-43.1206,21.1522
25.3,-43.2502,21.2111
25.4,-43.3796,21.2707
25.5,-43.509,21.3304
25.6,-43.6384,21.3902
25.7,-43.7675,21.4502
25.8,-43.8961,21.5105
25.9,-44.0245,21.5707
26,-44.1528,21.6305
26.1,-44.2808,21.6902
26.2,-44.4086,21.7497
26.3,-44.5362,21.809
26.4,-44.6637,21.8681
26.5,-44.7911,21.927
26.6,-44.9183,21.9858
26.7,-45.0454,22.0446
26.8,-45.1723,22.1033
26.9,-45.2992,22.1619
27,-45.4259,22.2206
27.1,-45.5526,22.2791
27.2,-45.6793,22.3376
27.3,-45.806,22.3961
27.4,-45.9324,22.4549
27.5,-46.0586,22.5143
