0.1,99.5038,84.472
0.2,99.5089,84.4231
0.3,99.5145,84.3575
0.4,99.5202,84.2787
0.5,99.5259,84.1894
0.6,99.5312,84.0917
0.7,99.5362,83.9873
0.8,99.541,83.8775
0.9,99.5453,83.7633
1,99.5494,83.6456
1.1,99.5532,83.525
1.2,99.5568,83.4021
1.3,99.5601,83.2773
1.4,99.5633,83.1509
1.5,99.5663,83.0231
1.6,99.5692,82.8943
1.7,99.572,82.7646
1.8,99.5747,82.6341
1.9,99.5774,82.503
2,99.58,82.3713
2.1,99.5825,82.2391
2.2,99.585,82.1066
2.3,99.5875,81.9737
2.4,99.5898,81.8405
2.5,99.5921,81.7071
2.6,99.5944,81.5734
2.7,99.5965,81.4395
2.8,99.5986,81.3054
2.9,99.6006,81.1712
3,99.6026,81.0368
3.1,99.6044,80.9023
3.2,99.6061,80.7676
3.3,99.6077,80.6328
3.4,99.6091,80.4979
3.5,99.6105,80.363
3.6,99.6117,80.2279
3.7,99.6129,80.0927
3.8,99.614,79.9574
3.9,99.615,79.822
4,99.616,79.6866
4.1,99.617,79.551
4.2,99.6179,79.4154
4.3,99.6188,79.2797
4.4,99.6197,79.1439
4.5,99.6205,79.0081
4.6,99.6214,78.8721
4.7,99.6223,78.7362
4.8,99.6231,78.6001
4.9,99.624,78.464
5,99.6248,78.3278
5.1,99.6257,78.1916
5.2,99.6265,78.0553
5.3,99.6274,77.9189
5.4,99.6282,77.7825
5.5,99.6291,77.646
5.6,99.63,77.5095
5.7,99.6308,77.373
5.8,99.6317,77.2364
5.9,99.6325,77.0997
6,99.6334,76.963
6.1,99.6343,76.8263
6.2,99.6354,76.6895
6.3,99.6367,76.5526
6.4,99.6381,76.4156
6.5,99.6396,76.2786
6.6,99.6412,76.1416
6.7,99.6428,76.0045
6.8,99.6446,75.8673
6.9,99.6464,75.7301
7,99.6482,75.5929
7.1,99.6501,75.4556
7.2,99.652,75.3183
7.3,99.6539,75.181
7.4,99.6558,75.0436
7.5,99.6577,74.9061
7.6,99.6597,74.7687
7.7,99.6617,74.6312
7.8,99.6637,74.4937
7.9,99.6656,74.3561
8,99.6676,74.2185
8.1,99.6696,74.0809
8.2,99.6716,73.9433
8.3,99.6736,73.8056
8.4,99.6756,73.6679
8.5,99.6776,73.5301
8.6,99.6796,73.3924
8.7,99.6816,73.2546
8.8,99.6835,73.1168
8.9,99.6855,72.9789
